,YEAR,WEEK,RANK,PLAYER,ATT,RUSH YDS,Y/A,LG,20+,RUSH TD,REC,TGT,REC YDS,Y/R,REC TD,FL,G,Zero PPR,Half PPR,One PPR,Unnamed: 20
831,2021,7,1,Alvin Kamara (NO) ,20,51,2.6,12,0,0,10,11,128,12.8,1,0,1,23.9,28.9,33.9,0
1593,2020,3,1,Alvin Kamara (NO) ,6,58,9.7,49,3,0,13,14,117,10.7,2,0,1,31.7,38.2,44.7,0
1906,2020,8,56,Joshua Kelley (LAC) ,7,32,4.6,22,1,0,1,1,-7,-7,0,0,1,2.5,3,3.5,0
2228,2020,14,74,Latavius Murray (DEN) ,4,13,3.3,7,0,0,1,1,-6,-6,0,0,1,0.7,1.2,1.7,0
1753,2020,5,53,Malcolm Brown (LAR) ,8,30,3.8,12,0,0,1,2,-6,-6,0,0,1,2.4,2.9,3.4,0
1772,2020,6,13,Miles Sanders (PHI) ,9,118,13.1,74,5,0,1,2,-6,-6,0,0,1,11.2,11.7,12.2,0
1328,2021,16,22,Josh Jacobs (LV) ,27,127,4.8,19,0,0,1,3,-5,-5,0,1,1,10.4,10.9,11.4,0
934,2021,8,83,Alexander Mattison (MIN) ,2,5,2.5,4,0,0,2,2,-5,-2.5,0,0,1,0,1,2,0
1959,2020,9,72,Le'Veon Bell (FA) ,4,8,2,4,0,0,1,1,-5,-5,0,0,1,0.3,0.8,1.3,0
2008,2020,10,63,Devin Singletary (BUF) ,4,15,3.8,13,0,0,1,3,-5,-5,0,0,1,1,1.5,2,0
295,2022,4,55,Kenneth Walker III (SEA) ,8,29,3.6,13,0,0,1,1,-5,-5,0,0,1,2.4,2.9,3.4,0
1351,2021,16,52,Saquon Barkley (NYG) ,15,32,2.1,7,0,0,1,1,-4,-4,0,0,1,2.8,3.3,3.8,0
684,2021,4,28,Michael Carter (NYJ) ,13,38,2.9,13,0,1,1,3,-4,-4,0,0,1,9.4,9.9,10.4,0
517,2021,1,44,Javonte Williams (DEN) ,14,45,3.2,12,0,0,1,1,-4,-4,0,0,1,4.1,4.6,5.1,0
399,2022,2,43,Ezekiel Elliott (DAL) ,15,53,3.5,11,0,0,1,2,-4,-4,0,0,1,4.9,5.4,5.9,0
1787,2020,6,30,Devonta Freeman (FA) ,18,61,3.4,14,0,0,1,2,-4,-4,0,0,1,5.7,6.2,6.7,0
909,2021,8,34,Khalil Herbert (CHI) ,23,72,3.1,22,1,0,2,2,-4,-2,0,0,1,6.8,7.8,8.8,0
650,2021,3,63,Damien Harris (NE) ,6,14,2.3,7,0,0,2,2,-3,-1.5,0,0,1,1.1,2.1,3.1,0
2004,2020,10,57,Zack Moss (IND) ,7,20,2.9,14,0,0,1,2,-3,-3,0,0,1,1.7,2.2,2.7,0
866,2021,7,45,Miles Sanders (PHI) ,6,30,5,9,0,0,1,1,-3,-3,0,0,1,2.7,3.2,3.7,0
457,2022,1,44,Ezekiel Elliott (DAL) ,10,52,5.2,7,0,0,1,2,-3,-3,0,0,1,4.9,5.4,5.9,0
1551,2020,2,23,Antonio Gibson (WAS) ,13,55,4.2,11,0,1,1,2,-3,-3,0,0,1,11.2,11.7,12.2,0
1823,2020,7,12,Derrick Henry (TEN) ,20,75,3.8,17,0,1,2,2,-3,-1.5,0,0,1,13.2,14.2,15.2,0
2075,2020,12,10,Wayne Gallman Jr. (KC) ,24,94,3.9,18,0,1,3,5,-3,-1,0,0,1,15.1,16.6,18.1,0
791,2021,6,14,Alex Collins (FA) ,20,101,5.1,21,1,1,1,1,-3,-3,0,0,1,15.8,16.3,16.8,0
725,2021,5,9,James Robinson (NYJ) ,18,107,8.3,58,4,1,1,1,-2,-2,0,0,1,20.7,21.2,21.7,0
1103,2021,12,2,Joe Mixon (CIN) ,28,91,5.9,32,3,2,4,4,-2,-0.5,0,0,1,28.3,30.3,32.3,0
824,2021,6,57,Jamaal Williams (DET) ,4,11,2.8,6,0,0,1,2,-2,-2,0,0,1,0.9,1.4,1.9,0
869,2021,7,55,Nyheim Hines (BUF) ,8,14,1.8,8,0,0,1,3,-2,-2,0,0,1,1.2,1.7,2.2,0
2393,2020,17,60,Malcolm Brown (LAR) ,3,20,6.7,12,0,0,1,1,-2,-2,0,0,1,1.8,2.3,2.8,0
1954,2020,9,57,James Conner (ARI) ,9,22,2.4,6,0,0,2,2,-2,-1,0,0,1,2,3,4,0
32,2022,9,45,D'Onta Foreman (CAR) ,7,23,3.3,6,0,0,2,3,-2,-1,0,0,1,2.1,3.1,4.1,0
764,2021,5,55,Devin Singletary (BUF) ,6,25,4.2,9,0,0,1,2,-2,-2,0,0,1,2.3,2.8,3.3,0
1199,2021,13,45,Mark Ingram II (NO) ,10,28,2.8,9,0,0,1,2,-2,-2,0,0,1,2.6,3.1,3.6,0
437,2022,1,20,Khalil Herbert (CHI) ,9,45,5,12,0,1,1,1,-2,-2,0,0,1,10.3,10.8,11.3,0
1016,2021,10,29,Melvin Gordon III (DEN) ,9,45,5,15,0,1,1,4,-2,-2,0,1,1,8.3,8.8,9.3,0
343,2022,3,41,Miles Sanders (PHI) ,15,46,3.1,13,0,0,1,1,-2,-2,0,0,1,4.4,4.9,5.4,0
1469,2020,1,6,Dalvin Cook (MIN) ,12,50,4.2,12,0,2,1,2,-2,-2,0,0,1,16.8,17.3,17.8,4
2095,2020,12,36,Alvin Kamara (NO) ,11,54,4.9,15,0,0,1,2,-2,-2,0,0,1,5.2,5.7,6.2,0
163,2022,6,25,Latavius Murray (DEN) ,15,66,4.4,14,0,0,1,1,-2,-2,0,0,1,6.4,6.9,7.4,0
665,2021,4,7,James Robinson (NYJ) ,18,78,4.3,20,1,2,1,2,-2,-2,0,0,1,19.6,20.1,20.6,0
263,2022,4,13,Damien Harris (NE) ,18,86,4.8,14,0,1,1,1,-2,-2,0,0,1,14.4,14.9,15.4,0
2014,2020,11,3,Derrick Henry (TEN) ,28,123,4.8,29,2,1,1,2,-1,-1,0,0,1,19.2,19.7,20.2,0
932,2021,8,77,David Johnson (FA) ,2,4,2,4,0,0,1,1,-1,-1,0,0,1,0.3,0.8,1.3,0
877,2021,7,71,Le'Veon Bell (FA) ,5,5,1,7,0,0,1,2,-1,-1,0,0,1,0.4,0.9,1.4,0
2117,2020,12,74,Devontae Booker (FA) ,5,6,1.2,4,0,0,1,4,-1,-1,0,0,1,0.5,1,1.5,0
872,2021,7,59,Malcolm Brown (LAR) ,3,10,3.3,4,0,0,1,1,-1,-1,0,0,1,0.9,1.4,1.9,0
1339,2021,16,33,Cordarrelle Patterson (ATL) ,7,14,2,6,0,1,1,2,-1,-1,0,0,1,7.3,7.8,8.3,0
648,2021,3,59,Mark Ingram II (NO) ,6,21,3.5,6,0,0,1,1,-1,-1,0,0,1,2,2.5,3,0
1036,2021,10,54,Adrian Peterson (FA) ,8,21,2.6,6,0,0,1,1,-1,-1,0,0,1,2,2.5,3,0
119,2022,7,29,Latavius Murray (DEN) ,8,24,3,5,0,1,2,3,-1,-0.5,0,0,1,8.3,9.3,10.3,0
1186,2021,13,30,Carlos Hyde (FA) ,9,24,2.7,10,0,1,1,1,-1,-1,0,1,1,6.3,6.8,7.3,0
294,2022,4,54,Javonte Williams (DEN) ,10,28,2.8,13,0,0,1,1,-1,-1,0,0,1,2.7,3.2,3.7,0
2158,2020,13,46,Giovani Bernard (TB) ,12,30,2.5,10,0,0,2,2,-1,-0.5,0,0,1,2.9,3.9,4.9,0
580,2021,2,47,Mark Ingram II (NO) ,14,41,2.9,8,0,0,1,2,-1,-1,0,0,1,4,4.5,5,0
169,2022,6,33,Raheem Mostert (MIA) ,14,49,3.5,16,0,0,1,2,-1,-1,0,0,1,4.8,5.3,5.8,0
2268,2020,15,40,Cam Akers (LAR) ,15,63,4.2,11,0,0,1,3,-1,-1,0,0,1,6.2,6.7,7.2,0
1815,2020,7,4,Antonio Gibson (WAS) ,20,128,6.4,40,3,1,0,1,0,0,0,0,1,18.8,18.8,18.8,0
1873,2020,8,13,Josh Jacobs (LV) ,31,127,4.2,16,0,0,0,1,0,0,0,0,1,12.9,12.9,12.9,0
717,2021,5,1,Derrick Henry (TEN) ,29,126,4.5,15,0,3,0,0,0,0,0,0,1,31,31,31,0
1370,2021,17,8,D'Onta Foreman (CAR) ,26,124,5.1,35,3,1,0,0,0,0,0,0,1,19.2,19.2,19.2,0
194,2022,5,4,Nick Chubb (CLE) ,17,122,7.9,41,4,2,0,1,0,0,0,0,1,25.4,25.4,25.4,0
1315,2021,16,6,Rashaad Penny (SEA) ,17,121,7.9,32,5,1,0,1,0,0,0,0,1,19.5,19.5,19.5,0
2132,2020,13,14,Wayne Gallman Jr. (KC) ,16,121,8.4,60,5,0,0,0,0,0,0,0,1,13.5,13.5,13.5,0
1048,2021,11,5,D'Andre Swift (DET) ,14,120,9.7,57,4,1,3,4,0,0,0,0,1,19.6,21.1,22.6,0
882,2021,8,4,Elijah Mitchell (SF) ,18,119,7.6,39,4,1,0,0,0,0,0,0,1,19.7,19.7,19.7,0
1470,2020,1,7,Clyde Edwards-Helaire (KC) ,25,118,5.5,27,1,1,0,2,0,0,0,0,1,19.8,19.8,19.8,0
9,2022,9,10,Dameon Pierce (HOU) ,27,117,5.1,36,2,0,0,0,0,0,0,0,1,13.9,13.9,13.9,0
664,2021,4,6,Ezekiel Elliott (DAL) ,20,113,7.2,47,3,1,0,1,0,0,0,0,1,20.3,20.3,20.3,0
1160,2021,13,1,Jonathan Taylor (IND) ,32,113,4.5,16,0,2,0,0,0,0,0,1,1,24.3,24.3,24.3,0
1311,2021,16,2,Rex Burkhead (HOU) ,22,107,6.8,36,3,2,2,2,0,0,0,0,1,26.9,27.9,28.9,0
1421,2021,18,6,Latavius Murray (DEN) ,16,106,9.4,46,5,1,0,0,0,0,0,0,1,21,21,21,0
2351,2020,17,3,J.K. Dobbins (BAL) ,13,96,12.3,72,6,2,0,0,0,0,0,0,1,28,28,28,0
1761,2020,6,2,Kenyan Drake (BAL) ,20,92,8.2,69,6,2,0,2,0,0,0,0,1,28.4,28.4,28.4,0
96,2022,7,2,Kenneth Walker III (SEA) ,23,89,7.3,74,4,2,0,0,0,0,0,0,1,28.7,28.7,28.7,0
1257,2021,15,2,Jonathan Taylor (IND) ,29,86,5.9,67,4,1,0,0,0,0,0,0,1,23,23,23,0
1416,2021,18,1,Rashaad Penny (SEA) ,23,66,8.3,62,6,1,0,0,0,0,0,0,1,25,25,25,0
2350,2020,17,2,Derrick Henry (TEN) ,34,6,7.4,52,8,2,0,0,0,0,0,1,1,35,35,35,0
571,2021,2,37,Darrel Williams (ARI) ,3,2,-0.7,2,0,1,0,0,0,0,0,0,1,5.8,5.8,5.8,0
716,2021,4,85,Benny Snell Jr. (PIT) ,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
933,2021,8,82,David Montgomery (CHI) ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
42,2022,9,71,Alexander Mattison (MIN) ,2,1,0.5,2,0,0,1,1,0,0,0,0,1,0.1,0.6,1.1,0
250,2022,5,79,Chase Edmonds (DEN) ,1,1,1,1,0,0,0,2,0,0,0,0,1,0.1,0.1,0.1,0
601,2021,2,84,Benny Snell Jr. (PIT) ,2,1,0.5,1,0,0,0,0,0,0,0,0,1,0.1,0.1,0.1,0
1043,2021,10,76,Le'Veon Bell (FA) ,3,1,0.3,1,0,0,0,0,0,0,0,0,1,0.1,0.1,0.1,0
1238,2021,14,33,Latavius Murray (DEN) ,1,1,1,1,0,1,0,0,0,0,0,0,1,6.1,6.1,6.1,0
1309,2021,15,75,Matt Breida (NYG) ,1,1,1,1,0,0,0,0,0,0,0,0,1,0.1,0.1,0.1,0
1592,2020,2,90,Peyton Barber (FA) ,1,1,1,1,0,0,0,0,0,0,0,0,1,0.1,0.1,0.1,0
1627,2020,3,36,Jordan Howard (NO) ,3,1,0.3,1,0,1,0,0,0,0,0,0,1,6.1,6.1,6.1,0
1706,2020,4,82,Boston Scott (PHI) ,2,1,0.5,1,0,0,0,0,0,0,0,0,1,0.1,0.1,0.1,0
1811,2020,6,72,D'Ernest Johnson (CLE) ,4,1,0.3,6,0,0,0,1,0,0,0,0,1,0.1,0.1,0.1,0
1961,2020,9,75,Benny Snell Jr. (PIT) ,3,1,0.3,3,0,0,0,0,0,0,0,0,1,0.1,0.1,0.1,0
2065,2020,11,72,D'Onta Foreman (CAR) ,1,1,1,1,0,0,0,0,0,0,0,0,1,0.1,0.1,0.1,0
41,2022,9,68,Phillip Lindsay (IND) ,1,2,2,2,0,0,0,1,0,0,0,0,1,0.2,0.2,0.2,0
92,2022,8,71,Salvon Ahmed (MIA) ,1,2,2,2,0,0,0,0,0,0,0,0,1,0.2,0.2,0.2,0
142,2022,7,70,Justin Jackson (DET) ,3,2,0.7,5,0,0,0,0,0,0,0,0,1,0.2,0.2,0.2,0
249,2022,5,77,D'Onta Foreman (CAR) ,2,2,1,5,0,0,0,0,0,0,0,0,1,0.2,0.2,0.2,0
304,2022,4,72,D'Onta Foreman (CAR) ,1,2,2,2,0,0,0,0,0,0,0,0,1,0.2,0.2,0.2,0
539,2021,1,83,Sony Michel (LAC) ,1,2,2,2,0,0,0,0,0,0,0,0,1,0.2,0.2,0.2,0
715,2021,4,79,Kenyan Drake (BAL) ,1,2,2,2,0,0,0,0,0,0,0,0,1,0.2,0.2,0.2,0
777,2021,5,81,Wayne Gallman Jr. (KC) ,1,2,2,2,0,0,0,0,0,0,0,0,1,0.2,0.2,0.2,0
878,2021,7,75,Wayne Gallman Jr. (KC) ,1,2,2,2,0,0,0,0,0,0,0,0,1,0.2,0.2,0.2,0
1101,2021,11,78,Justin Jackson (DET) ,1,2,2,2,0,0,0,1,0,0,0,0,1,0.2,0.2,0.2,0
1210,2021,13,69,Ronald Jones II (KC) ,1,2,2,2,0,0,1,1,0,0,0,0,1,0.2,0.7,1.2,0
1415,2021,17,78,Benny Snell Jr. (PIT) ,1,2,2,2,0,0,0,0,0,0,0,0,1,0.2,0.2,0.2,0
1705,2020,4,81,Darrel Williams (ARI) ,1,2,2,2,0,0,0,1,0,0,0,0,1,0.2,0.2,0.2,0
1838,2020,7,30,Benny Snell Jr. (PIT) ,2,2,1,1,0,1,0,0,0,0,0,0,1,6.2,6.2,6.2,0
2010,2020,10,78,Phillip Lindsay (IND) ,4,2,0.5,4,0,0,0,1,0,0,0,0,1,0.2,0.2,0.2,0
2064,2020,11,71,Mark Ingram II (NO) ,2,2,1,2,0,0,0,0,0,0,0,0,1,0.2,0.2,0.2,0
2175,2020,13,77,Frank Gore (FA) ,1,2,2,2,0,0,0,0,0,0,0,0,1,0.2,0.2,0.2,0
40,2022,9,67,Cam Akers (LAR) ,5,3,0.6,2,0,0,0,0,0,0,0,0,1,0.3,0.3,0.3,0
190,2022,6,67,Alexander Mattison (MIN) ,1,3,3,3,0,0,0,0,0,0,0,0,1,0.3,0.3,0.3,0
191,2022,6,69,Tevin Coleman (SF) ,4,3,0.8,5,0,0,0,0,0,0,0,0,1,0.3,0.3,0.3,0
248,2022,5,76,Mike Davis (BAL) ,1,3,3,3,0,0,0,0,0,0,0,0,1,0.3,0.3,0.3,0
361,2022,3,78,Matt Breida (NYG) ,1,3,3,3,0,0,0,0,0,0,0,0,1,0.3,0.3,0.3,0
476,2022,1,70,Chuba Hubbard (CAR) ,1,3,3,3,0,0,0,0,0,0,0,0,1,0.3,0.3,0.3,0
714,2021,4,77,Myles Gaskin (MIA) ,2,3,1.5,3,0,0,0,0,0,0,0,0,1,0.3,0.3,0.3,0
989,2021,9,72,Chase Edmonds (DEN) ,1,3,3,3,0,0,0,0,0,0,0,0,1,0.3,0.3,0.3,0
1100,2021,11,77,Peyton Barber (FA) ,1,3,3,3,0,0,0,0,0,0,0,0,1,0.3,0.3,0.3,0
1255,2021,14,66,Khalil Herbert (CHI) ,1,3,3,3,0,0,0,0,0,0,0,0,1,0.3,0.3,0.3,0
1414,2021,17,76,Eno Benjamin (ARI) ,2,3,1.5,2,0,0,0,0,0,0,0,0,1,0.3,0.3,0.3,0
1591,2020,2,87,Jeff Wilson Jr. (MIA) ,2,3,1.5,2,0,0,0,0,0,0,0,0,1,0.3,0.3,0.3,0
1704,2020,4,77,AJ Dillon (GB) ,1,3,3,3,0,0,0,0,0,0,0,0,1,0.3,0.3,0.3,0
1759,2020,5,66,Boston Scott (PHI) ,1,3,3,3,0,0,0,0,0,0,0,0,1,0.3,0.3,0.3,0
1861,2020,7,68,D'Ernest Johnson (CLE) ,1,3,3,3,0,0,0,0,0,0,0,0,1,0.3,0.3,0.3,0
2348,2020,16,83,Tevin Coleman (SF) ,2,3,1.5,3,0,0,1,1,0,0,0,0,1,0.3,0.8,1.3,0
2400,2020,17,77,AJ Dillon (GB) ,1,3,3,3,0,0,0,0,0,0,0,0,1,0.3,0.3,0.3,0
141,2022,7,68,J.D. McKissic (WAS) ,1,4,4,4,0,0,0,2,0,0,0,0,1,0.4,0.4,0.4,0
419,2022,2,80,Mike Davis (BAL) ,5,4,0.8,3,0,0,0,0,0,0,0,0,1,0.4,0.4,0.4,0
537,2021,1,80,Darrel Williams (ARI) ,1,4,4,4,0,0,0,0,0,0,0,0,1,0.4,0.4,0.4,0
538,2021,1,81,Matt Breida (NYG) ,4,4,1,7,0,0,0,0,0,0,0,0,1,0.4,0.4,0.4,0
713,2021,4,75,Devonta Freeman (FA) ,1,4,4,4,0,0,0,0,0,0,0,0,1,0.4,0.4,0.4,0
876,2021,7,69,Sony Michel (LAC) ,2,4,2,4,0,0,0,0,0,0,0,0,1,0.4,0.4,0.4,0
1041,2021,10,71,Benny Snell Jr. (PIT) ,1,4,4,4,0,0,0,0,0,0,0,0,1,0.4,0.4,0.4,0
1042,2021,10,72,Carlos Hyde (FA) ,2,4,2,5,0,0,1,2,0,0,0,0,1,0.4,0.9,1.4,0
1254,2021,14,63,James Robinson (NYJ) ,6,4,0.7,5,0,0,0,0,0,0,0,0,1,0.4,0.4,0.4,0
1529,2020,1,81,Justin Jackson (DET) ,2,4,2,2,0,0,0,0,0,0,0,0,1,0.4,0.4,0.4,0
1564,2020,2,40,Jordan Howard (NO) ,5,4,0.8,2,0,1,0,0,0,0,0,0,1,6.4,6.4,6.4,0
1650,2020,3,85,Matt Breida (NYG) ,3,4,1.3,3,0,0,0,0,0,0,0,0,1,0.4,0.4,0.4,0
2009,2020,10,72,Alexander Mattison (MIN) ,2,4,2,4,0,0,0,0,0,0,0,0,1,0.4,0.4,0.4,0
2062,2020,11,66,Matt Breida (NYG) ,2,4,2,4,0,0,0,0,0,0,0,0,1,0.4,0.4,0.4,0
2324,2020,16,37,Mike Boone (DEN) ,1,4,4,4,0,1,0,0,0,0,0,0,1,6.4,6.4,6.4,0
2346,2020,16,78,Justin Jackson (DET) ,2,4,2,4,0,0,0,0,0,0,0,0,1,0.4,0.4,0.4,0
39,2022,9,64,Boston Scott (PHI) ,1,5,5,5,0,0,0,0,0,0,0,0,1,0.5,0.5,0.5,0
140,2022,7,64,Kenyan Drake (BAL) ,11,5,0.5,4,0,0,0,1,0,0,0,0,1,0.5,0.5,0.5,0
475,2022,1,69,D'Onta Foreman (CAR) ,2,5,2.5,4,0,0,0,0,0,0,0,0,1,0.5,0.5,0.5,0
658,2021,3,76,Phillip Lindsay (IND) ,7,5,0.7,3,0,0,0,0,0,0,0,0,1,0.5,0.5,0.5,0
1097,2021,11,70,Zack Moss (IND) ,3,5,1.7,3,0,0,0,1,0,0,0,0,1,0.5,0.5,0.5,0
1098,2021,11,72,Alexander Mattison (MIN) ,3,5,1.7,3,0,0,0,1,0,0,0,0,1,0.5,0.5,0.5,0
1159,2021,12,75,Benny Snell Jr. (PIT) ,2,5,2.5,4,0,0,0,0,0,0,0,0,1,0.5,0.5,0.5,0
1528,2020,1,80,D'Ernest Johnson (CLE) ,1,5,5,5,0,0,0,0,0,0,0,0,1,0.5,0.5,0.5,0
1649,2020,3,83,Boston Scott (PHI) ,3,5,1.7,4,0,0,0,1,0,0,0,0,1,0.5,0.5,0.5,0
1703,2020,4,74,Peyton Barber (FA) ,3,5,1.7,3,0,0,0,1,0,0,0,0,1,0.5,0.5,0.5,0
1958,2020,9,70,Alex Collins (FA) ,2,5,2.5,8,0,0,0,0,0,0,0,0,1,0.5,0.5,0.5,0
2229,2020,14,78,Darrell Henderson Jr. (LAR) ,2,5,2.5,3,0,0,0,0,0,0,0,0,1,0.5,0.5,0.5,0
2267,2020,15,39,Peyton Barber (FA) ,4,5,1.3,4,0,1,0,1,0,0,0,0,1,6.5,6.5,6.5,0
2290,2020,15,85,Darrel Williams (ARI) ,3,5,1.7,3,0,0,0,0,0,0,0,0,1,0.5,0.5,0.5,0
91,2022,8,70,Ty Johnson (NYJ) ,2,6,3,4,0,0,0,2,0,0,0,0,1,0.6,0.6,0.6,0
302,2022,4,70,Zack Moss (IND) ,3,6,2,5,0,0,0,0,0,0,0,0,1,0.6,0.6,0.6,0
986,2021,9,68,Salvon Ahmed (MIA) ,4,6,1.5,2,0,0,0,0,0,0,0,0,1,0.6,0.6,0.6,0
987,2021,9,69,Benny Snell Jr. (PIT) ,2,6,3,5,0,0,0,0,0,0,0,0,1,0.6,0.6,0.6,0
1040,2021,10,67,Joshua Kelley (LAC) ,1,6,6,6,0,0,0,0,0,0,0,0,1,0.6,0.6,0.6,0
1158,2021,12,74,Chuba Hubbard (CAR) ,2,6,3,5,0,0,0,1,0,0,0,0,1,0.6,0.6,0.6,0
1463,2021,18,73,Tevin Coleman (SF) ,5,6,1.2,5,0,0,0,1,0,0,0,0,1,0.6,0.6,0.6,0
1527,2020,1,77,Darrell Henderson Jr. (LAR) ,3,6,2,3,0,0,0,0,0,0,0,0,1,0.6,0.6,0.6,0
1648,2020,3,80,Peyton Barber (FA) ,3,6,2,3,0,0,0,0,0,0,0,0,1,0.6,0.6,0.6,0
2060,2020,11,61,Alexander Mattison (MIN) ,1,6,6,6,0,0,0,0,0,0,0,0,1,0.6,0.6,0.6,0
2061,2020,11,62,Gus Edwards (BAL) ,3,6,2,3,0,0,0,0,0,0,0,0,1,0.6,0.6,0.6,0
2116,2020,12,71,Alexander Mattison (MIN) ,2,6,3,4,0,0,0,0,0,0,0,0,1,0.6,0.6,0.6,0
2289,2020,15,83,Rashaad Penny (SEA) ,2,6,3,6,0,0,0,0,0,0,0,0,1,0.6,0.6,0.6,0
247,2022,5,72,Zack Moss (IND) ,1,7,7,7,0,0,0,0,0,0,0,0,1,0.7,0.7,0.7,0
359,2022,3,71,Darrel Williams (ARI) ,1,7,7,7,0,0,0,1,0,0,0,0,1,0.7,0.7,0.7,0
600,2021,2,76,Carlos Hyde (FA) ,2,7,3.5,6,0,0,0,2,0,0,0,0,1,0.7,0.7,0.7,0
712,2021,4,71,Khalil Herbert (CHI) ,3,7,2.3,4,0,0,0,0,0,0,0,0,1,0.7,0.7,0.7,0
827,2021,6,60,Joshua Kelley (LAC) ,4,7,1.8,4,0,0,0,0,0,0,0,0,1,0.7,0.7,0.7,0
874,2021,7,64,Eno Benjamin (ARI) ,2,7,3.5,8,0,0,0,0,0,0,0,0,1,0.7,0.7,0.7,0
930,2021,8,71,Rashaad Penny (SEA) ,7,7,1,5,0,0,0,0,0,0,0,0,1,0.7,0.7,0.7,0
1096,2021,11,68,Benny Snell Jr. (PIT) ,2,7,3.5,4,0,0,0,0,0,0,0,0,1,0.7,0.7,0.7,0
1498,2020,1,36,Jordan Howard (NO) ,8,7,0.9,4,0,1,0,0,0,0,0,0,1,6.7,6.7,6.7,0
2172,2020,13,72,Samaje Perine (CIN) ,3,7,2.3,5,0,0,0,0,0,0,0,0,1,0.7,0.7,0.7,0
2398,2020,17,70,Giovani Bernard (TB) ,3,7,2.3,4,0,0,0,1,0,0,0,0,1,0.7,0.7,0.7,0
186,2022,6,60,Melvin Gordon III (DEN) ,3,8,2.7,4,0,0,0,0,0,0,0,0,1,0.8,0.8,0.8,0
417,2022,2,75,Kenyan Drake (BAL) ,6,8,1.3,6,0,0,0,0,0,0,0,0,1,0.8,0.8,0.8,0
531,2021,1,69,J.D. McKissic (WAS) ,1,8,8,8,0,0,0,1,0,0,0,0,1,0.8,0.8,0.8,0
532,2021,1,70,Rashaad Penny (SEA) ,2,8,4,4,0,0,0,0,0,0,0,0,1,0.8,0.8,0.8,0
653,2021,3,66,Alex Collins (FA) ,2,8,4,6,0,0,0,0,0,0,0,0,1,0.8,0.8,0.8,0
654,2021,3,67,Devonta Freeman (FA) ,3,8,2.7,5,0,0,0,0,0,0,0,0,1,0.8,0.8,0.8,0
873,2021,7,61,Phillip Lindsay (IND) ,2,8,4,4,0,0,0,0,0,0,0,0,1,0.8,0.8,0.8,0
929,2021,8,70,Phillip Lindsay (IND) ,3,8,2.7,5,0,0,0,0,0,0,0,0,1,0.8,0.8,0.8,0
1252,2021,14,58,Ronald Jones II (KC) ,3,8,2.7,9,0,0,0,0,0,0,0,0,1,0.8,0.8,0.8,0
1859,2020,7,59,Devonta Freeman (FA) ,3,8,2.7,7,0,0,0,1,0,0,0,0,1,0.8,0.8,0.8,0
1913,2020,8,66,Alexander Mattison (MIN) ,3,8,2.7,3,0,0,0,0,0,0,0,0,1,0.8,0.8,0.8,0
2286,2020,15,77,Joshua Kelley (LAC) ,2,8,4,5,0,0,0,0,0,0,0,0,1,0.8,0.8,0.8,0
2345,2020,16,73,Jordan Howard (NO) ,3,8,2.7,5,0,0,0,0,0,0,0,0,1,0.8,0.8,0.8,0
245,2022,5,70,Darrel Williams (ARI) ,3,9,3,7,0,0,0,0,0,0,0,0,1,0.9,0.9,0.9,0
415,2022,2,72,D'Onta Foreman (CAR) ,2,9,4.5,7,0,0,0,0,0,0,0,0,1,0.9,0.9,0.9,0
652,2021,3,65,D'Ernest Johnson (CLE) ,2,9,4.5,5,0,0,0,0,0,0,0,0,1,0.9,0.9,0.9,0
775,2021,5,72,Saquon Barkley (NYG) ,2,9,4.5,5,0,0,0,1,0,0,0,0,1,0.9,0.9,0.9,0
871,2021,7,58,Rashaad Penny (SEA) ,6,9,1.5,5,0,0,0,0,0,0,0,0,1,0.9,0.9,0.9,0
985,2021,9,67,Rex Burkhead (HOU) ,2,9,4.5,8,0,0,0,0,0,0,0,0,1,0.9,0.9,0.9,0
1154,2021,12,70,Khalil Herbert (CHI) ,4,9,2.3,5,0,0,0,0,0,0,0,0,1,0.9,0.9,0.9,0
1361,2021,16,74,Chuba Hubbard (CAR) ,6,9,1.5,4,0,0,0,1,0,0,0,0,1,0.9,0.9,0.9,0
1413,2021,17,72,Khalil Herbert (CHI) ,2,9,4.5,7,0,0,0,0,0,0,0,0,1,0.9,0.9,0.9,0
2171,2020,13,68,Boston Scott (PHI) ,2,9,4.5,6,0,0,0,2,0,0,0,0,1,0.9,0.9,0.9,0
2343,2020,16,71,Rashaad Penny (SEA) ,3,9,3,6,0,0,0,0,0,0,0,0,1,0.9,0.9,0.9,0
90,2022,8,66,Malcolm Brown (LAR) ,5,10,2,4,0,0,0,0,0,0,0,0,1,1,1,1,0
446,2022,1,32,Boston Scott (PHI) ,4,10,2.5,8,0,1,0,0,0,0,0,0,1,7,7,7,0
599,2021,2,72,Chuba Hubbard (CAR) ,8,10,1.3,9,0,0,0,1,0,0,0,0,1,1,1,1,0
823,2021,6,56,Alexander Mattison (MIN) ,3,10,3.3,5,0,0,0,0,0,0,0,0,1,1,1,1,0
870,2021,7,57,Mike Davis (BAL) ,4,10,2.5,3,0,0,0,0,0,0,0,0,1,1,1,1,0
1360,2021,16,70,James Robinson (NYJ) ,3,10,3.3,9,0,0,0,0,0,0,0,0,1,1,1,1,0
1646,2020,3,75,Devonta Freeman (FA) ,5,10,2,6,0,0,0,0,0,0,0,0,1,1,1,1,0
