,YEAR,WEEK,RANK,PLAYER,ATT,RUSH YDS,Y/A,LG,20+,RUSH TD,REC,TGT,REC YDS,Y/R,REC TD,FL,G,Zero PPR,Half PPR,One PPR,Unnamed: 20
602,2021,3,1,Ezekiel Elliott (DAL) ,17,95,5.6,13,0,2,3,3,21,7,0,0,1,23.6,25.1,26.6,0
2067,2020,12,2,Antonio Gibson (WAS) ,20,115,5.8,37,3,3,5,7,21,4.2,0,0,1,31.6,34.1,36.6,0
2178,2020,14,3,Miles Sanders (PHI) ,14,115,8.2,82,4,2,4,5,21,5.3,0,0,1,25.6,27.6,29.6,0
254,2022,4,4,Miles Sanders (PHI) ,27,122,5,35,2,2,2,3,22,11,0,0,1,27.6,28.6,29.6,0
833,2021,7,3,D'Ernest Johnson (CLE) ,22,110,6.6,20,2,1,2,2,22,11,0,0,1,22.8,23.8,24.8,0
2052,2020,11,49,Darrel Williams (ARI) ,0,0,0,0,0,0,3,3,22,7.3,0,0,1,2.2,3.7,5.2,0
2277,2020,15,58,Jerick McKinnon (KC) ,0,0,0,0,0,0,2,2,22,11,0,0,1,2.2,3.2,4.2,0
1907,2020,8,57,D'Andre Swift (DET) ,6,1,0.2,5,0,0,3,4,22,7.3,0,0,1,2.3,3.8,5.3,0
558,2021,2,22,Phillip Lindsay (IND) ,5,2,0.4,5,0,0,1,1,22,22,1,0,1,8.4,8.9,9.4,0
926,2021,8,59,Nyheim Hines (BUF) ,1,2,2,2,0,0,4,5,22,5.5,0,0,1,2.4,4.4,6.4,0
1580,2020,2,61,Giovani Bernard (TB) ,1,3,3,3,0,0,5,7,22,4.4,0,0,1,2.5,5,7.5,0
1749,2020,5,47,Nyheim Hines (BUF) ,3,8,2.7,5,0,0,2,4,22,11,0,0,1,3,4,5,0
1512,2020,1,55,Tony Pollard (DAL) ,2,10,5,6,0,0,2,3,22,11,0,0,1,3.2,4.2,5.2,0
2141,2020,13,23,Nyheim Hines (BUF) ,6,10,1.7,5,0,1,3,3,22,7.3,0,0,1,9.2,10.7,12.2,0
1244,2021,14,41,Samaje Perine (CIN) ,4,11,2.8,6,0,0,4,5,22,5.5,0,0,1,3.3,5.3,7.3,0
747,2021,5,32,Ty Johnson (NYJ) ,4,12,3,6,0,1,2,3,22,11,0,0,1,9.4,10.4,11.4,0
1383,2021,17,24,Jamaal Williams (DET) ,11,22,2,6,0,1,3,3,22,7.3,0,0,1,10.4,11.9,13.4,0
577,2021,2,44,David Johnson (FA) ,6,25,4.2,8,0,0,2,2,22,11,0,0,1,4.7,5.7,6.7,0
1000,2021,10,11,Matt Breida (NYG) ,3,28,9.3,15,0,1,3,3,22,7.3,1,1,1,15,16.5,18,0
1683,2020,4,36,Myles Gaskin (MIA) ,10,40,4,11,0,0,3,4,22,7.3,0,0,1,6.2,7.7,9.2,0
260,2022,4,10,J.K. Dobbins (BAL) ,13,41,3.2,16,0,1,4,4,22,5.5,1,0,1,18.3,20.3,22.3,0
808,2021,6,33,Tony Pollard (DAL) ,10,41,4.1,9,0,0,3,3,22,7.3,0,0,1,6.3,7.8,9.3,0
911,2021,8,36,Mike Davis (BAL) ,9,44,4.9,18,0,0,5,6,22,4.4,0,0,1,6.6,9.1,11.6,0
1741,2020,5,37,James Robinson (NYJ) ,13,48,3.7,14,0,0,5,7,22,4.4,0,1,1,5,7.5,10,0
76,2022,8,41,David Montgomery (CHI) ,15,53,3.5,10,0,0,3,3,22,7.3,0,1,1,5.5,7,8.5,0
279,2022,4,33,James Conner (ARI) ,15,55,3.7,8,0,0,3,3,22,7.3,0,0,1,7.7,9.2,10.7,0
1549,2020,2,20,Mark Ingram II (NO) ,9,55,6.1,30,2,1,2,3,22,11,0,0,1,13.7,14.7,15.7,0
1607,2020,3,15,Brian Hill (FA) ,9,58,6.4,35,2,1,1,3,22,22,0,0,1,14,14.5,15,0
2143,2020,13,25,Devin Singletary (BUF) ,18,61,3.4,15,0,0,3,4,22,7.3,0,0,1,8.3,9.8,11.3,0
2130,2020,13,12,Cam Akers (LAR) ,21,72,3.4,12,0,1,1,1,22,22,0,0,1,15.4,15.9,16.4,0
2186,2020,14,11,Chris Carson (FA) ,12,76,6.3,28,1,1,3,5,22,7.3,0,0,1,15.8,17.3,18.8,0
