,Year,Player,From,To,Value,Tax Rate,Tax Est ,State
116,2021,Lawrence Guy,NE,NE,11.5,5.00%,$0.58 ,Massachusets
117,2021,Sheldon Rankins,NO,NYJ,11,10.75%,$1.18 ,New Jersey
118,2021,Kenyan Drake,ARI,LV,11,0.00%, $-   ,Nevada
119,2021,Will Fuller,HOU,MIA,10.6,0.00%, $-   ,Florida
120,2021,Chris Carson,SEA,SEA,10.4,0.00%, $-   ,Washington
121,2021,Ryan Fitzpatrick,MIA,WAS,10,5.75%,$0.58 ,Maryland
122,2021,Andy Dalton,DAL,CHI,10,4.95%,$0.50 ,Illinois
123,2021,Cameron Erving,DAL,CAR,10,7.00%,$0.70 ,North Carolina
124,2020,Robert Quinn,DAL,CHI,70,4.95%,$3.47 ,Illinois
125,2020,Teddy Bridgewater,NO,CAR,63,7.00%,$4.41 ,North Carolina
126,2020,Joe Schoebert,CLE,JAC,53.8,0.00%, $-   ,Florida
127,2020,DJ Reader,HOU,CIN,53,3.99%,$2.11 ,Ohio
128,2020,Kyle Van Noy,NE,MIA,51,0.00%, $-   ,Florida
129,2020,Tom Brady,NE,TB,50,0.00%, $-   ,Florida
130,2020,Dante Fowler Jr,LAR,ATL,45,5.75%,$2.59 ,Georgia
131,2020,Trae Waynes,MIN,CIN,42,3.99%,$1.68 ,Ohio
132,2020,Kendall Fuller,KC,WAS,40,5.75%,$2.30 ,Maryland
133,2020,Javon Hargrave,PIT,PHI,39,3.07%,$1.20 ,Pennsylvania
134,2020,Cory Littleton,LAR,LV,35.3,0.00%, $-   ,Nevada
135,2020,Malcolm Jenkins,PHI,NO,32,4.25%,$1.36 ,Louisiana
136,2020,Blake Martinez,GB,NYG,30.8,10.75%,$3.31 ,New Jersey
137,2020,Mario Addison,CAR,BUF,30.5,10.90%,$3.32 ,New York
138,2020,Bryan Bulaga,GB ,LAC,30,12.30%,$3.69 ,California
139,2020,Jordan Phillips,BUF,ARI,30,4.50%,$1.35 ,Arizona
140,2020,George Fant,SEA,NYJ,30,10.75%,$3.23 ,New Jersey
141,2020,Jamie Collins,NE,DET,30,4.25%,$1.28 ,Michigan
142,2020,Michael Pierce,BAL,MIN,27,9.85%,$2.66 ,Minnesota
143,2020,Connor McGovern,DEN,NYJ,27,10.75%,$2.90 ,New Jersey
144,2020,Randall Cobb,GB,HOU,27,0.00%, $-   ,Texas
145,2020,Carl Nassib,TB,LV,25.3,0.00%, $-   ,Nevada
146,2020,Philip Rivers,LAC,IND,25,3.23%,$0.81 ,Indiana
147,2020,Emmanuel Sanders,SF,NO,24,4.25%,$1.02 ,Louisiana
148,2020,Nick Kwiatkoski,CHI,LV,21,0.00%, $-   ,Nevada
149,2020,Robbie Anderson,NYJ,CAR,20,7.00%,$1.40 ,North Carolina
150,2020,Devon Kennard,DET,ARI,20,4.50%,$0.90 ,Arizona
151,2020,Gerald McCoy,CAR,DAL,18.3,0.00%, $-   ,Texas
152,2020,Vonn Bell,NO,CIN,18,3.99%,$0.72 ,Ohio
153,2020,AJ Klein,NO,BUF,18,10.90%,$1.96 ,New York
154,2020,Rodney Gunter,ARI,JAC,18,0.00%, $-   ,Florida
155,2020,Eric Murray,CLE,HOU,18,0.00%, $-   ,Texas
156,2020,Marcus Mariota,TEN,LV,17.6,0.00%, $-   ,Nevada
157,2020,Chris Harris,DEN,LAC,17,12.30%,$2.09 ,California
158,2020,Linval Joseph,MIN,LAC,17,12.30%,$2.09 ,California
159,2020,A'Shawn Robinson,DET,LAR,17,12.30%,$2.09 ,California
160,2020,Melvin Gordon,LAC,DEN,16,4.55%,$0.73 ,Colorado
161,2020,Jimmy Graham,GB,CHI,16,4.95%,$0.79 ,Illinois
162,2020,Vernon Butler,CAR,BUF,15,10.90%,$1.64 ,New York
163,2020,Emmanuel Ogbah,KC,MIA,15,0.00%, $-   ,Florida
164,2020,Quinton Jefferson,SEA,BUF,13.5,10.90%,$1.47 ,New York
165,2020,Jadaveon Clowney,SEA,TEN,13,0.00%, $-   ,Tennessee
166,2020,Stephen Weatherly,MIN,CAR,12.5,7.00%,$0.88 ,North Carolina
167,2020,Eric Ebron,IND,PIT,12,3.07%,$0.37 ,Pennsylvania
168,2020,Ricky Wagner,DET,GB,11,7.65%,$0.84 ,Wisconsin
169,2020,Greg Van Roten,CAR,NYJ,10.5,10.75%,$1.13 ,New Jersey
170,2020,Dan Bailey,MIN,MIN,10,9.85%,$0.99 ,Minnesota
171,2020,Leonard Floyd,CHI,LAR,10,12.30%,$1.23 ,California
172,2020,Nick Williams,CHI,DET,10,4.25%,$0.43 ,Michigan
