,YEAR,WEEK,RANK,PLAYER,REC,TGT,REC YDS,Y/R,LG,20+,REC TD,ATT,RUSH YDS,RUSH TD,FL,G,Zero PPR,Half PPR,One PPR
336,2021,3,10,Mike Gesicki (MIA) ,10,12,86,8.6,27,1,0,0,0,0,0,1,8.6,13.6,18.6
807,2021,18,8,Hunter Henry (NE) ,5,6,86,17.2,35,4,0,0,0,0,0,1,8.6,11.1,13.6
63,2022,3,7,Kyle Pitts (ATL) ,5,8,87,17.4,28,2,0,0,0,0,0,1,8.7,11.2,13.7
529,2021,9,10,Cole Kmet (CHI) ,6,8,87,14.5,25,2,0,0,0,0,0,1,8.7,11.7,14.7
908,2020,3,7,Travis Kelce (KC) ,6,7,87,14.5,29,1,0,0,0,0,0,1,8.7,11.7,14.7
130,2022,5,7,David Njoku (CLE) ,6,6,88,14.7,38,2,0,0,0,0,0,1,8.8,11.8,14.8
585,2021,11,1,Zach Ertz (ARI) ,8,9,88,11,25,2,2,0,0,0,0,1,20.8,24.8,28.8
877,2020,2,9,Dalton Schultz (DAL) ,9,10,88,9.8,18,0,1,0,0,0,1,1,12.8,17.3,21.8
945,2020,4,12,Darren Waller (LV) ,9,11,88,9.8,22,1,0,0,0,0,1,1,6.8,11.3,15.8
1141,2020,11,3,Darren Waller (LV) ,7,7,88,12.6,26,1,1,0,0,0,0,1,14.8,18.3,21.8
1201,2020,13,5,Mike Gesicki (MIA) ,9,11,88,9.8,20,1,1,0,0,0,0,1,14.8,19.3,23.8
58,2022,3,1,Mark Andrews (BAL) ,8,13,89,11.1,25,1,2,0,0,0,0,1,20.9,24.9,28.9
59,2022,3,2,David Njoku (CLE) ,9,10,89,9.9,19,0,1,0,0,0,0,1,14.9,19.4,23.9
126,2022,5,3,Mark Andrews (BAL) ,8,10,89,11.1,20,1,1,0,0,0,0,1,14.9,18.9,22.9
494,2021,8,4,T.J. Hockenson (MIN) ,10,11,89,8.9,18,0,0,0,0,0,0,1,8.9,13.9,18.9
775,2021,17,3,Mark Andrews (BAL) ,6,6,89,14.8,33,2,0,0,0,0,0,1,8.9,11.9,14.9
1173,2020,12,9,T.J. Hockenson (MIN) ,5,8,89,17.8,51,4,0,0,0,0,0,1,8.9,11.4,13.9
158,2022,6,9,Robert Tonyan (GB) ,10,12,90,9,16,0,0,0,0,0,0,1,9,14,19
254,2021,1,1,Rob Gronkowski (FA) ,8,8,90,11.3,20,2,2,0,0,0,0,1,21,25,29
874,2020,2,6,Travis Kelce (KC) ,9,14,90,10,20,1,1,0,0,0,0,1,15,19.5,24
976,2020,5,9,Gerald Everett (LAC) ,4,4,90,22.5,40,4,0,0,0,0,0,1,9,11,13
466,2021,7,1,C.J. Uzomah (NYJ) ,3,3,91,30.3,55,6,2,0,0,0,0,1,21.1,22.6,24.1
975,2020,5,8,Mike Gesicki (MIA) ,5,6,91,18.2,70,4,0,0,0,0,0,1,9.1,11.6,14.1
96,2022,4,3,Travis Kelce (KC) ,9,10,92,10.2,22,1,1,0,0,0,0,1,15.2,19.7,24.2
334,2021,3,7,George Kittle (SF) ,7,9,92,13.1,39,2,0,1,9,0,0,1,10.1,13.6,17.1
528,2021,9,7,Darren Waller (LV) ,7,11,92,13.1,24,2,0,0,0,0,0,1,9.2,12.7,16.2
773,2021,17,1,Noah Fant (SEA) ,6,7,92,15.3,35,2,1,0,0,0,0,1,15.2,18.2,21.2
1309,2020,16,9,George Kittle (SF) ,4,5,92,23,27,3,0,0,0,0,0,1,9.2,11.2,13.2
715,2021,15,6,George Kittle (SF) ,6,6,93,15.5,28,2,0,0,0,0,0,1,9.3,12.3,15.3
128,2022,5,5,Dallas Goedert (PHI) ,8,9,95,11.9,31,2,0,0,0,0,0,1,9.5,13.5,17.5
361,2021,4,1,C.J. Uzomah (NYJ) ,5,6,95,19,31,4,2,0,0,0,0,1,21.5,24,26.5
235,2022,9,7,Noah Fant (SEA) ,5,6,96,19.2,51,4,0,0,0,0,0,1,9.6,12.1,14.6
1140,2020,11,2,Mark Andrews (BAL) ,5,7,96,19.2,31,4,1,0,0,0,0,1,15.6,18.1,20.6
256,2021,1,3,T.J. Hockenson (MIN) ,8,11,97,12.1,23,2,1,0,0,0,0,1,15.7,19.7,23.7
434,2021,6,1,Noah Fant (SEA) ,9,11,97,10.8,26,2,1,0,0,0,0,1,15.7,20.2,24.7
178,2022,7,1,George Kittle (SF) ,6,9,98,16.3,34,2,1,0,0,0,0,1,15.8,18.8,21.8
179,2022,7,3,Travis Kelce (KC) ,6,8,98,16.3,27,2,0,0,0,0,0,1,9.8,12.8,15.8
937,2020,4,1,Robert Tonyan (GB) ,6,6,98,16.3,27,3,3,0,0,0,0,1,27.8,30.8,33.8
1200,2020,13,4,Logan Thomas (WAS) ,9,9,98,10.9,30,2,1,0,0,0,0,1,15.8,20.3,24.8
1305,2020,16,4,Travis Kelce (KC) ,7,13,98,14,29,2,1,0,0,0,0,1,15.8,19.3,22.8
437,2021,6,6,Travis Kelce (KC) ,8,11,99,12.4,20,1,0,0,0,0,0,1,9.9,13.9,17.9
232,2022,9,2,Dallas Goedert (PHI) ,8,9,100,12.5,21,1,1,0,0,0,0,1,16,20,24
525,2021,9,2,George Kittle (SF) ,6,8,101,16.8,29,1,1,0,0,0,1,1,14.1,17.1,20.1
836,2020,1,2,Dallas Goedert (PHI) ,8,9,101,12.6,34,3,1,0,0,0,0,1,16.1,20.1,24.1
1274,2020,15,8,Logan Thomas (WAS) ,13,16,101,7.8,20,1,0,0,0,0,0,1,10.1,16.6,23.1
747,2021,16,5,Kyle Pitts (ATL) ,6,6,102,17,35,2,0,0,0,0,0,1,10.2,13.2,16.2
31,2022,2,1,Mark Andrews (BAL) ,9,11,104,11.6,25,1,1,1,3,0,0,1,16.7,21.2,25.7
333,2021,3,6,Travis Kelce (KC) ,7,11,104,14.9,28,2,0,0,0,0,0,1,10.4,13.9,17.4
257,2021,1,4,Darren Waller (LV) ,10,19,105,10.5,24,1,1,0,0,0,0,1,16.5,21.5,26.5
654,2021,13,2,Dallas Goedert (PHI) ,6,6,105,17.5,36,3,2,0,0,0,0,1,22.5,25.5,28.5
873,2020,2,5,Darren Waller (LV) ,12,16,105,8.8,18,0,1,0,0,0,0,1,16.5,22.5,28.5
154,2022,6,2,Mark Andrews (BAL) ,7,11,106,15.1,18,0,1,0,0,0,0,1,16.6,20.1,23.6
233,2022,9,4,Travis Kelce (KC) ,10,17,106,10.6,23,1,0,0,0,0,0,1,10.6,15.6,20.6
